member_asn,cc
42,**
112,US
250,**
553,**
559,**
680,**
702,**
714,**
1031,ZZ
1239,**
1241,**
1248,**
1257,**
1267,**
1273,**
1547,MD
1680,**
1764,**
1820,**
1828,**
1836,**
2119,**
2484,FR
2497,**
2603,**
2635,**
2686,**
2854,**
2857,DE
2906,**
2914,**
3209,**
3214,**
3216,**
3223,**
3225,KW
3252,GB
3255,UA
3257,**
3292,**
3303,**
3320,**
3326,UA
3327,**
3462,**
3580,US
3741,**
3786,**
3856,US
4134,**
4229,**
4230,**
4455,**
4637,**
4651,TH
4657,**
4766,**
4775,**
4788,**
4837,CN
5398,CH
5400,**
5404,AT
5409,DE
5410,FR
5413,**
5416,BH
5430,DE
5464,CH
5511,**
5539,DE
5578,SK
5603,SI
5605,**
5606,**
5713,**
6057,**
6083,ZA
6233,**
6412,KW
6447,ZZ
6461,**
6507,**
6661,**
6663,**
6667,FI
6682,ZZ
6695,ZZ
6697,**
6730,CH
6735,DE
6762,**
6768,UA
6774,**
6775,**
6805,DE
6866,**
6876,**
6898,CH
6908,GB
6939,**
7155,**
7195,**
7342,US
7473,**
7552,**
7713,**
8075,**
8218,**
8220,**
8245,AT
8262,BG
8283,**
8298,**
8302,CH
8304,**
8308,PL
8309,FR
8319,DE
8339,**
8359,**
8365,DE
8374,PL
8391,DE
8399,FR
8400,**
8422,DE
8426,**
8445,**
8447,**
8452,**
8455,**
8462,HU
8469,DE
8473,**
8529,**
8540,AT
8544,**
8551,**
8560,**
8632,LU
8637,ES
8641,RU
8647,UA
8648,DE
8657,**
8674,SE
8708,**
8717,BG
8732,RU
8741,DE
8752,RU
8757,**
8758,**
8763,DE
8764,**
8767,**
8781,**
8804,DE
8821,CH
8823,DE
8839,FR
8859,DE
8866,**
8878,DE
8879,DE
8881,**
8888,**
8893,DE
8926,MD
8932,AM
8953,**
8966,**
9002,**
9009,**
9022,DE
9029,LV
9031,BE
9036,FR
9038,JO
9044,CH
9050,**
9063,DE
9083,DE
9116,IL
9119,SI
9121,**
9136,DE
9145,DE
9211,**
9269,**
9299,**
9304,**
9318,**
9381,**
9498,**
10122,**
10158,KR
10282,IE
10310,**
12041,**
12189,**
12297,AM
12301,**
12306,DE
12312,DE
12316,DE
12322,FR
12329,**
12337,**
12348,DE
12355,DE
12360,DE
12387,CH
12389,**
12399,DE
12440,DE
12453,AT
12470,DE
12480,DE
12491,**
12494,RU
12496,GB
12531,DE
12552,**
12577,AT
12578,LV
12625,DE
12654,NL
12676,**
12678,CY
12680,DE
12684,**
12693,DE
12695,**
12709,MT
12713,GR
